,AUS,AUT,BEL,BGR,BRA,CAN,CHN,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HUN,IDN,IND,IRL,ITA,JPN,KOR,LTU,LUX,LVA,MEX,NLD,POL,PRT,ROM,RUS,SVK,SVN,SWE,TUR,USA,RoW,,
FRA,10,9,45,2,12,16,65,1,8,137,7,78,1,5,0,80,10,6,3,12,8,79,25,13,1,4,1,8,27,17,13,8,19,4,2,13,15,105,261," 1,130 ",
GBR,36,19,58,4,24,52,138,4,13,259,29,90,2,17,153,0,20,10,8,33,113,95,56,29,2,19,2,16,107,32,16,10,43,6,3,41,23,321,577," 2,480 ",
GRC,3,3,4,7,3,3,15,8,1,29,3,7,0,2,10,22,0,1,2,4,1,20,10,12,0,0,0,3,4,3,1,7,7,1,2,7,12,34,206, 457 ,
HUN,5,33,15,6,5,6,32,0,20,155,7,32,1,6,45,41,5,0,2,4,7,51,11,13,1,1,1,4,12,26,4,37,19,15,5,10,12,49,184, 882 ,
IDN,157,17,38,3,41,51,634,1,10,224,22,79,1,12,103,125,17,6,0,152,11,99,808,256,1,2,1,37,63,22,8,5,53,6,3,14,46,571,1451," 5,150 ",
IND,345,108,448,15,279,695,1977,9,56,1358,149,428,6,189,639,1500,94,66,231,0,80,670,844,353,7,9,6,192,464,134,79,75,335,23,18,158,227,5562,8390," 26,218 ",
IRL,1,0,2,0,0,1,3,0,0,6,0,3,0,0,3,9,0,0,0,0,0,4,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,12,14, 64 ,
ITA,18,32,29,8,26,26,102,4,16,192,15,114,1,9,178,102,41,12,9,19,11,0,44,20,3,5,2,19,28,42,16,27,53,7,13,18,37,174,470," 1,942 ",
JPN,60,10,23,2,29,65,704,1,10,115,9,38,1,7,60,71,8,7,45,33,9,44,0,150,1,1,0,52,33,16,5,3,93,4,2,11,18,509,928," 3,177 ",
KOR,52,11,27,3,44,63,886,1,11,190,11,48,1,13,78,80,32,13,49,59,10,78,252,0,1,1,1,78,29,31,6,8,120,16,4,20,40,494,1244," 4,105 ",
LTU,1,2,3,0,1,2,6,0,1,17,8,6,4,2,12,7,1,1,0,2,1,6,2,1,0,0,15,1,3,9,1,1,12,1,0,7,1,10,61, 208 ,
LUX,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, 4 ,
LVA,1,2,2,0,1,1,7,1,1,16,12,3,8,6,6,9,3,1,1,2,5,6,4,6,22,0,0,1,5,6,0,2,18,1,0,9,1,11,87, 267 ,
MEX,12,5,10,1,25,144,69,0,3,97,9,58,0,4,40,34,2,2,3,13,4,28,51,13,0,1,0,0,14,7,4,1,12,1,1,6,5,1694,257," 2,630 ",
NLD,7,12,87,2,9,9,49,1,8,179,20,38,1,7,70,104,11,8,3,8,9,60,15,9,2,4,1,8,0,18,9,7,13,2,1,19,8,72,144," 1,034 ",
POL,7,39,38,9,10,17,50,1,56,351,31,55,4,16,116,110,12,34,6,7,18,121,17,9,25,3,10,6,45,0,7,28,88,21,6,54,23,77,333," 1,860 ",
PRT,3,6,12,1,14,8,32,1,3,50,4,117,0,3,59,43,3,2,1,2,3,25,6,3,0,1,0,5,11,5,0,2,7,1,1,8,5,41,102, 590 ,
ROM,6,47,28,29,10,15,39,2,14,164,6,49,1,5,93,69,25,38,6,12,6,191,19,17,1,1,1,5,28,28,6,0,35,10,6,10,69,72,383," 1,546 ",
RUS,73,170,155,122,110,89,1042,7,222,1652,93,422,26,293,895,465,278,136,47,145,52,670,523,242,214,9,52,58,504,475,33,181,0,148,21,203,633,1090,4068," 15,618 ",
SVK,1,14,3,1,1,1,8,0,19,39,2,6,0,2,15,12,1,9,0,1,1,14,2,1,1,0,1,1,3,12,1,4,15,0,1,3,3,9,28, 235 ,
SVN,0,3,1,0,0,0,2,0,1,10,1,1,0,0,4,2,0,1,0,0,0,7,1,0,0,0,0,0,1,2,0,1,3,1,0,1,1,3,16, 63 ,
SWE,4,3,8,1,4,5,23,0,2,29,21,12,1,11,16,23,2,1,3,4,2,11,7,4,1,1,1,2,8,6,2,1,8,1,0,0,4,33,108, 373 ,
TUR,18,30,51,39,17,29,86,1,22,354,21,137,3,12,203,203,70,13,13,26,14,208,44,21,4,2,3,12,49,64,15,89,220,10,7,24,0,202,1085," 3,421 ",
USA,72,19,43,3,76,557,474,2,12,229,30,88,1,14,145,218,25,11,26,92,65,90,260,120,2,5,1,341,85,24,10,8,49,5,3,32,28,0,1558," 4,823 ",
RoW,1974,654,974,144,2210,1605,13135,50,329,5589,559,2839,65,419,4044,3983,660,252,1360,3638,432,4313,8665,3310,113,50,57,1073,1904,724,477,320,1861,231,162,761,1595,19254,0," 89,785 ",
,6222,2221,3420,589,5214,7857,20348,223,1729,20716,1864,8767,206,1737,12330,13040,2151,1250,3610,8327,1591,11210,24713,10743,504,255,224,4941,6155,3352,1196,1357,7092,899,422,2521,4471,65483,70171,," 339,121 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 339,121 ",
